INVOICE_ID,BRANCH,CITY,CUSTOMER_TYPE,GENDER_CUSTOMER,PRODUCT_LINE,UNIT_COST,QUANTITY,5PCT_MARKUP,REVENUE,DATE,TIME,PAYMENT_METHOD,COGS,GM_PCT,GROSS_INCOME,RATING
149-71-6266,B,Mandalay,Member,Male,Sports And Travel,78.07,9.0,35.1315,737.7615,2019-01-28,12:43,Cash,702.63,4.761904762,35.1315,4.5
861-77-0145,C,Naypyitaw,Member,Male,Electronic Accessories,81.97,10.0,40.985,860.685,,14:30,Cash,819.7,4.761904762,40.985,9.2
700-81-1757,A,Yangon,Normal,Female,Electronic Accessories,26.31,5.0,6.5775,138.1275,2019-01-18,20:59,Credit Card,131.55,4.761904762,6.5775,8.8
504-35-8843,A,Yangon,Normal,Male,Sports And Travel,42.47,1.0,2.1235,44.5935,,16:57,Cash,42.47,4.761904762,2.1235,5.7
777-67-2495,B,Mandalay,Normal,Male,Home And Lifestyle,68.97,3.0,10.3455,217.2555,2019-02-22,11:26,Ewallet,206.91,4.761904762,10.3455,8.7
873-14-6353,A,Yangon,Member,Male,Food And Beverages,24.82,7.0,8.687,182.427,2019-02-16,10:33,Credit Card,173.74,4.761904762,8.687,7.1
704-20-4138,C,Naypyitaw,Member,Female,Health And Beauty,29.67,7.0,10.3845,218.0745,,18:58,Credit Card,207.69,4.761904762,10.3845,8.1
821-07-3596,C,Naypyitaw,Normal,Female,Fashion Accessories,16.45,4.0,3.29,69.09,,14:53,Ewallet,65.8,4.761904762,3.29,5.6
583-41-4548,C,Naypyitaw,Normal,Male,Home And Lifestyle,16.67,7.0,5.8345,122.5245,,11:36,Ewallet,116.69,4.761904762,5.8345,7.4
636-98-3364,B,Mandalay,Member,Female,Electronic Accessories,26.26,3.0,3.939,82.719,,12:36,Ewallet,78.78,4.761904762,3.939,6.3
152-68-2907,A,Yangon,Normal,Male,Food And Beverages,52.2,3.0,7.83,164.43,2019-02-15,13:30,Credit Card,156.6,4.761904762,7.83,9.5
263-10-3913,C,Naypyitaw,Member,Male,Fashion Accessories,49.04,9.0,22.068,463.428,,14:20,Credit Card,441.36,4.761904762,22.068,8.6
630-74-5166,A,Yangon,Normal,Male,Sports And Travel,62.13,6.0,18.639,391.419,2019-03-22,20:19,Cash,372.78,4.761904762,18.639,7.4
489-64-4354,C,Naypyitaw,Normal,Male,Fashion Accessories,16.28,1.0,0.814,17.094,,15:36,Cash,16.28,4.761904762,0.814,5.0
375-72-3056,B,Mandalay,Normal,Male,Sports And Travel,63.06,3.0,9.459,198.639,2019-01-19,15:58,Ewallet,189.18,4.761904762,9.459,7.0
866-70-2814,B,Mandalay,Normal,Female,Electronic Accessories,52.79,10.0,26.395,554.295,2019-02-25,11:58,Ewallet,527.9,4.761904762,26.395,10.0
714-02-3114,C,Naypyitaw,Normal,Female,Sports And Travel,98.8,2.0,9.88,207.48,2019-02-21,11:39,Cash,197.6,4.761904762,9.88,7.7
416-17-9926,A,Yangon,Member,Female,Electronic Accessories,74.22,10.0,37.11,779.31,,14:42,Credit Card,742.2,4.761904762,37.11,4.3
266-76-6436,C,Naypyitaw,Member,Female,Food And Beverages,38.6,3.0,5.79,121.59,2019-03-28,13:57,Ewallet,115.8,4.761904762,5.79,7.5
123-35-4896,C,Naypyitaw,Normal,Female,Sports And Travel,46.66,9.0,20.997,440.937,2019-02-17,19:11,Ewallet,419.94,4.761904762,20.997,5.3
325-90-8763,C,Naypyitaw,Member,Female,Electronic Accessories,46.57,10.0,23.285,488.985,2019-01-27,13:58,Cash,465.7,4.761904762,23.285,7.6
870-76-1733,A,Yangon,Member,Female,Food And Beverages,14.23,5.0,3.5575,74.7075,,10:08,Credit Card,71.15,4.761904762,3.5575,4.4
740-11-5257,C,Naypyitaw,Normal,Male,Electronic Accessories,24.74,10.0,12.37,259.77,2019-02-24,16:44,Cash,247.4,4.761904762,12.37,7.1
834-25-9262,C,Naypyitaw,Normal,Female,Fashion Accessories,81.68,4.0,16.336,343.056,,12:12,Cash,326.72,4.761904762,16.336,9.1
622-20-1945,C,Naypyitaw,Normal,Female,Health And Beauty,39.42,1.0,1.971,41.391,2019-01-18,15:08,Cash,39.42,4.761904762,1.971,8.4
308-39-1707,A,Yangon,Normal,Female,Fashion Accessories,12.09,1.0,0.6045,12.6945,2019-01-26,18:19,Credit Card,12.09,4.761904762,0.6045,8.2
459-45-2396,A,Yangon,Member,Female,Food And Beverages,99.6,3.0,14.94,313.74,2019-02-25,18:45,Cash,298.8,4.761904762,14.94,5.8
746-19-0921,C,Naypyitaw,Normal,Male,Food And Beverages,21.58,1.0,1.079,22.659,,10:02,Ewallet,21.58,4.761904762,1.079,7.2
258-69-7810,C,Naypyitaw,Normal,Female,Fashion Accessories,36.85,5.0,9.2125,193.4625,2019-01-26,18:53,Cash,184.25,4.761904762,9.2125,9.2
885-17-6250,A,Yangon,Normal,Female,Health And Beauty,79.74,1.0,3.987,83.727,,10:36,Ewallet,79.74,4.761904762,3.987,7.3
339-12-4827,B,Mandalay,Member,Female,Fashion Accessories,73.96,1.0,3.698,77.658,,11:32,Credit Card,73.96,4.761904762,3.698,5.0
418-05-0656,B,Mandalay,Normal,Female,Fashion Accessories,25.56,7.0,8.946,187.866,,20:42,Cash,178.92,4.761904762,8.946,7.1
442-48-3607,A,Yangon,Member,Male,Food And Beverages,23.48,2.0,2.348,49.308,2019-03-14,11:21,Credit Card,46.96,4.761904762,2.348,7.9
372-26-1506,C,Naypyitaw,Normal,Female,Fashion Accessories,23.82,5.0,5.955,125.055,2019-01-28,19:24,Ewallet,119.1,4.761904762,5.955,5.4
