Invoice_ID,Branch,City,customer_type,gender_customer,product_line,unit_cost,quantity,5pct_markup,revenue,date,time,payment_method,cogs,gm_pct,gross_income,rating
149-71-6266,B,Mandalay,Member,male,Sports and travel,78.07,9.0,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5
861-77-0145,C,Naypyitaw,member,MALE,Electronic accessories,81.97,10.0,40.985,860.685,03/03/19,14:30,CASH,819.7,4.761904762,40.985,9.2
700-81-1757,a,yangon,Normal,FEMALE,electronic accessories,26.31,5.0,6.5775,138.1275,1/18/2019,20:59,  Credit card  ,131.55,4.761904762,6.5775,8.8
504-35-8843,A,Yangon,NORMAL,MALE,Sports and travel,42.47,1.0,2.1235,44.5935,01/02/19,16:57,CASH,42.47,4.761904762,2.1235,5.7
777-67-2495,B,MANDALAY,Normal,male,HOME AND LIFESTYLE,68.97,3.0,10.3455,217.2555,2/22/2019,11:26,ewallet,206.91,4.761904762,10.3455,8.7
550-84-8664,A,yangon, Normal  ,MALE,Sports and travel,85.91,5.0,21.4775,451.0275,3/22/2019,14:33,,429.55,4.761904762,21.4775,8.6
873-14-6353,A,yangon,  MEMBER ,male,Food And Beverages,24.82,7.0,8.687,182.427,2/16/2019,10:33,   Credit Card ,173.74,4.761904762,8.687,7.1
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,29.67,7.0,10.3845,218.0745,03/11/19,18:58,Credit card,207.69,4.761904762,10.3845,8.1
821-07-3596,C,Naypyitaw,normal,female,FASHION ACCESSORIES,16.45,4.0,3.29,69.09,03/07/19,14:53, ewallet  ,65.8,4.761904762,3.29,5.6
583-41-4548,C,Naypyitaw,Normal,Male,home and lifestyle,16.67,7.0,5.8345,122.5245,02/07/19,11:36,   ewallet,116.69,4.761904762,5.8345,7.4
636-98-3364,B, Mandalay , Member,Female,Electronic accessories,26.26,3.0,3.939,82.719,03/02/19,12:36,EWALLET,78.78,4.761904762,3.939,6.3
152-68-2907,A,Yangon,Normal,male,Food and beverages,52.2,3.0,7.83,164.43,2/15/2019,13:30,Credit Card,156.6,4.761904762,7.83,9.5
263-10-3913,c,  Naypyitaw ,MEMBER,Male,Fashion Accessories,49.04,9.0,22.068,463.428,01/09/19,14:20,CREDIT CARD,441.36,4.761904762,22.068,8.6
630-74-5166,A,Yangon,Normal,Male,SPORTS AND TRAVEL,62.13,6.0,18.639,391.419,3/22/2019,20:19,cash,372.78,4.761904762,18.639,7.4
489-64-4354,C,Naypyitaw,Normal,Male,Fashion accessories,16.28,1.0,0.814,17.094,03/09/19,15:36,Cash,16.28,4.761904762,0.814,5.0
375-72-3056,b, Mandalay  ,normal,Male,sports and travel,63.06,3.0,9.459,198.639,1/19/2019,15:58,Ewallet,189.18,4.761904762,9.459,7.0
